feature,field,value
ADAPTER,Description,0
ADAPTER,VendorId,6900
ADAPTER,DeviceId,4176
ADAPTER,DedicatedVideoMemoryMiB,4096
FEATURE_LEVELS,MaxSupportedFeatureLevel,49664
SHADER_MODEL,HighestShaderModel,104
ROOT_SIGNATURE,HighestVersion,2
OPTIONS,DoublePrecisionFloatShaderOps,1
OPTIONS,OutputMergerLogicOp,1
OPTIONS,MinPrecisionSupport,2
OPTIONS,TiledResourcesTier,4
OPTIONS,ResourceBindingTier,3
OPTIONS,PSSpecifiedStencilRefSupported,0
OPTIONS,TypedUAVLoadAdditionalFormats,1
OPTIONS,ROVsSupported,1
OPTIONS,ConservativeRasterizationTier,3
OPTIONS,MaxGPUVirtualAddressBitsPerResource,40
OPTIONS,StandardSwizzle64KBSupported,0
OPTIONS,CrossNodeSharingTier,0
OPTIONS,CrossAdapterRowMajorTextureSupported,0
OPTIONS,VPAndRTArrayIndexFromAnyShaderFeedingRasterizerSupportedWithoutGSEmulation,1
OPTIONS,ResourceHeapTier,2
OPTIONS1,WaveOps,1
OPTIONS1,WaveLaneCountMin,32
OPTIONS1,WaveLaneCountMax,32
OPTIONS1,TotalLaneCount,1024
OPTIONS1,ExpandedComputeResourceStates,1
OPTIONS1,Int64ShaderOps,1
OPTIONS2,DepthBoundsTestSupported,1
OPTIONS2,ProgrammableSamplePositionsTier,0
OPTIONS3,CopyQueueTimestampQueriesSupported,1
OPTIONS3,CastingFullyTypedFormatSupported,1
OPTIONS3,WriteBufferImmediateSupportFlags,15
OPTIONS3,ViewInstancingTier,2
OPTIONS3,BarycentricsSupported,1
OPTIONS4,MSAA64KBAlignedTextureSupported,0
OPTIONS4,SharedResourceCompatibilityTier,0
OPTIONS4,Native16BitShaderOpsSupported,1
OPTIONS5,SRVOnlyTiledResourceTier3,1
OPTIONS5,RenderPassesTier,0
OPTIONS5,RaytracingTier,11
OPTIONS6,AdditionalShadingRatesSupported,1
OPTIONS6,PerPrimitiveShadingRateSupportedWithViewportIndexing,4096
OPTIONS6,VariableShadingRateTier,2
OPTIONS6,ShadingRateImageTileSize,16
OPTIONS6,BackgroundProcessingSupported,0
OPTIONS7,MeshShaderTier,10
OPTIONS7,SamplerFeedbackTier,90
OPTIONS8,UnalignedBlockTexturesSupported,1
OPTIONS9,MeshShaderPipelineStatsSupported,0
OPTIONS9,MeshShaderSupportsFullRangeRenderTargetArrayIndex,1
OPTIONS9,AtomicInt64OnTypedResourceSupported,1
OPTIONS9,AtomicInt64OnGroupSharedSupported,1
OPTIONS9,DerivativesInMeshAndAmplificationShadersSupported,1
OPTIONS9,WaveMMATier,0
OPTIONS10,VariableRateShadingSumCombinerSupported,1
OPTIONS10,MeshShaderPerPrimitiveShadingRateSupported,1
OPTIONS11,AtomicInt64OnDescriptorHeapResourceSupported,1
OPTIONS12,MSPrimitivesPipelineStatisticIncludesCulledPrimitives,0
OPTIONS12,EnhancedBarriersSupported,1
OPTIONS12,RelaxedFormatCastingSupported,1
OPTIONS13,UnrestrictedBufferTextureCopyPitchSupported,1
OPTIONS13,UnrestrictedVertexElementAlignmentSupported,0
OPTIONS13,InvertedViewportHeightFlipsYSupported,1
OPTIONS13,InvertedViewportDepthFlipsZSupported,1
OPTIONS13,TextureCopyBetweenDimensionsSupported,1
OPTIONS13,AlphaBlendFactorSupported,1
OPTIONS14,AdvancedTextureOpsSupported,0
OPTIONS14,WriteableMSAATexturesSupported,1
OPTIONS14,IndependentFrontAndBackStencilRefMaskSupported,1
OPTIONS15,TriangleFanSupported,1
OPTIONS15,DynamicIndexBufferStripCutSupported,1
OPTIONS16,DynamicDepthBiasSupported,1
OPTIONS16,GPUUploadHeapSupported,1
OPTIONS17,NonNormalizedCoordinateSamplersSupported,1
OPTIONS17,ManualWriteTrackingResourceSupported,0
OPTIONS18,RenderPassesValid,1
OPTIONS19,MismatchingOutputDimensionsSupported,1
OPTIONS19,SupportedSampleCountsWithNoOutputs,1
OPTIONS19,PointSamplingAddressesNeverRoundUp,1
OPTIONS19,RasterizerDesc2Supported,1
OPTIONS19,NarrowQuadrilateralLinesSupported,1
OPTIONS19,AnisoFilterWithPointMipSupported,1
OPTIONS19,MaxSamplerDescriptorHeapSize,2048
OPTIONS19,MaxSamplerDescriptorHeapSizeWithStaticSamplers,2048
OPTIONS19,MaxViewDescriptorHeapSize,1000000
OPTIONS19,ComputeOnlyCustomHeapSupported,0
ARCHITECTURE1,TileBasedRenderer,0
ARCHITECTURE1,UMA,0
ARCHITECTURE1,CacheCoherentUMA,0
ARCHITECTURE1,IsolatedMMU,1
GPUVA,MaxGPUVirtualAddressBitsPerResource,40
GPUVA,MaxGPUVirtualAddressBitsPerProcess,40
EXISTING_HEAPS,Supported,0
SERIALIZATION,HeapSerializationTier,0
CROSS_NODE,SharingTier,0
CROSS_NODE,AtomicShaderInstructions,0
PREDICATION,QUERY_FAILED,0x80004001
HARDWARE_COPY,QUERY_FAILED,0x80004001
NODE,Count,1
DESCRIPTOR_STRIDE,CBV_SRV_UAV,32
DESCRIPTOR_STRIDE,SAMPLER,32
DESCRIPTOR_STRIDE,RTV,32
DESCRIPTOR_STRIDE,DSV,32
